         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      643    0.016    0.000    0.016    0.000 _docscrape.py:91(peek)
     1301    0.016    0.000    0.016    0.000 _docscrape.py:81(is_empty)
        9    0.016    0.002    0.016    0.002 _docscrape.py:276(_parse_see_also)
        7    0.016    0.002    0.078    0.011 charstatemodel.py:150(__init__)
     5093    0.016    0.000    0.031    0.000 basemodel.py:66(__init__)
      156    0.016    0.000    0.031    0.000 charstatemodel.py:258(_validate_new_symbol)
     5421    0.016    0.000    0.031    0.000 charstatemodel.py:728(symbol_state_pair_iter)
     3414    0.016    0.000    0.016    0.000 charstatemodel.py:1021(_get_symbol)
      188    0.016    0.000    0.031    0.000 charstatemodel.py:237(_direct_get_state_for_symbol)
      753    0.016    0.000    0.016    0.000 charstatemodel.py:970(__eq__)
     3998    0.016    0.000    0.234    0.000 tokenizer.py:134(require_next_token)
     3999    0.016    0.000    0.016    0.000 tokenizer.py:252(_skip_to_significant_char)
     1000    0.016    0.000    0.156    0.000 nexusprocessing.py:260(require_taxon_for_symbol)
     1000    0.016    0.000    0.016    0.000 taxonmodel.py:1685(_set_label)
     1000    0.016    0.000    0.016    0.000 taxonmodel.py:641(__len__)
     1998    0.016    0.000    0.047    0.000 _node.py:654(add_child)
     4000    0.016    0.000    0.016    0.000 newickwriter.py:329(_compose_comment_string)
     1000    0.016    0.000    0.141    0.000 newickwriter.py:294(<lambda>)
     2000    0.016    0.000    0.016    0.000 __init__.py:173(search)
     5997    0.016    0.000    0.016    0.000 _node.py:968(_get_edge)
      999    0.016    0.000    0.125    0.000 newickwriter.py:309(_write_node_close)
      999    0.016    0.000    0.031    0.000 newick.py:316(<listcomp>)
     1998    0.016    0.000    0.016    0.000 tree.py:140(_set_up)
     1999    0.016    0.000    0.062    0.000 tree.py:272(add_feature)
     2000    0.016    0.000    0.031    0.000 tree.py:585(get_children)
     2000    0.016    0.000    0.016    0.000 tree.py:589(<listcomp>)
     3999    0.016    0.000    2.094    0.001 tree.py:615(get_leaves)
     1999    0.016    0.000    0.016    0.000 tree.py:286(del_feature)
      999    0.016    0.000    0.016    0.000 spoverlap.py:198(<listcomp>)
      999    0.016    0.000    0.047    0.000 spoverlap.py:200(<listcomp>)
      999    0.016    0.000    0.016    0.000 spoverlap.py:214(<listcomp>)
      722    0.016    0.000    0.016    0.000 spoverlap.py:228(<listcomp>)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000   46.375   46.375 profile:0(<code object <module> at 0x00000164F4D44510, file "./ete_phylo_test.py", line 1>)
        1    0.000    0.000   46.375   46.375 ete_phylo_test.py:1(<module>)
      889    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      889    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1699    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1741    0.000    0.000    0.000    0.000 :0(allocate_lock)
