         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 dataclasses.py:201(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:246(InitVar)
        1    0.000    0.000    0.000    0.000 dataclasses.py:273(Field)
       15    0.000    0.000    0.000    0.000 dataclasses.py:228(_recursive_repr)
        1    0.000    0.000    0.000    0.000 dataclasses.py:337(_DataclassParams)
        1    0.000    0.000    0.000    0.000 pprint.py:80(_safe_key)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        1    0.000    0.000    0.000    0.000 case.py:192(_BaseTestCaseContext)
        1    0.000    0.000    0.000    0.000 case.py:201(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:243(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:282(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:334(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 case.py:344(TestCase)
       10    0.000    0.000    0.000    0.000 case.py:1366(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1388(FunctionTestCase)
        4    0.000    0.000    0.000    0.000 case.py:387(__init_subclass__)
        1    0.000    0.000    0.000    0.000 case.py:1446(_SubTest)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 suite.py:92(TestSuite)
        1    0.000    0.000    0.000    0.000 suite.py:328(_ErrorHolder)
        1    0.000    0.000    0.000    0.000 suite.py:375(_DebugResult)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:23(_FailedTest)
        1    0.000    0.000    0.000    0.000 loader.py:66(TestLoader)
        1    0.000    0.000    0.000    0.000 loader.py:77(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:204(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:676(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:687(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:698(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:727(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:761(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:781(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:790(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:885(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:924(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:959(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:982(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:999(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1016(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1054(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1081(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1104(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1123(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1149(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1151(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1249(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1260(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1315(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1335(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:1645(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1687(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1715(ArgumentParser)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
       30    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       31    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        3    0.000    0.000    0.000    0.000 signal.py:48(_wraps)
        3    0.000    0.000    0.000    0.000 signal.py:49(decorator)
        1    0.000    0.000    0.000    0.000 signals.py:9(_InterruptHandler)
        1    0.000    0.000    0.000    0.000 runner.py:14(_WritelnDecorator)
        1    0.000    0.000    0.000    0.000 runner.py:30(TextTestResult)
        1    0.000    0.000    0.000    0.000 runner.py:161(TextTestRunner)
        1    0.000    0.000    0.000    0.000 main.py:56(TestProgram)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:109(_getuserbase)
        2    0.000    0.000    0.000    0.000 sysconfig.py:118(joinuser)
       34    0.000    0.000    0.000    0.000 <frozen ntpath>:319(expanduser)
        5    0.000    0.000    0.000    0.000 sysconfig.py:185(_safe_realpath)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:674(realpath)
       13    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
       13    0.000    0.000    0.000    0.000 :0(LCMapStringEx)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
       12    0.000    0.000    0.000    0.000 :0(_getfinalpathname)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:625(_getfinalpathname_nonstrict)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:583(_readlink_deep)
        1    0.000    0.000    0.000    0.000 :0(readlink)
        1    0.000    0.000    0.000    0.000 sysconfig.py:219(is_python_build)
        2    0.000    0.000    0.000    0.000 sysconfig.py:311(get_default_scheme)
        2    0.000    0.000    0.000    0.000 sysconfig.py:299(get_preferred_scheme)
        2    0.000    0.000    0.000    0.000 sysconfig.py:279(_get_preferred_schemes)
        1    0.000    0.000    0.000    0.000 utils.py:45(KnownFailureException)
        1    0.000    0.000    0.000    0.000 platform.py:956(machine)
        5    0.000    0.000    0.000    0.000 platform.py:830(uname)
        1    0.000    0.000    0.000    0.000 platform.py:580(_node)
        2    0.000    0.000    0.000    0.000 :0(gethostname)
        1    0.000    0.000    0.000    0.000 platform.py:363(win32_ver)
        1    0.000    0.000    0.000    0.000 :0(getwindowsversion)
        1    0.000    0.000    0.000    0.000 platform.py:263(_syscmd_ver)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:123(SubprocessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:126(CalledProcessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:163(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 subprocess.py:192(STARTUPINFO)
        1    0.000    0.000    0.000    0.000 subprocess.py:215(Handle)
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        1    0.000    0.000    0.000    0.000 subprocess.py:417(check_output)
        2    0.000    0.000    0.000    0.000 subprocess.py:506(run)
        2    0.000    0.000    0.000    0.000 subprocess.py:807(__init__)
        2    0.000    0.000    0.000    0.000 subprocess.py:259(_cleanup)
        2    0.000    0.000    0.000    0.000 subprocess.py:1313(_get_handles)
        2    0.000    0.000    0.000    0.000 subprocess.py:1133(_get_devnull)
        5    0.000    0.000    0.000    0.000 :0(open)
        2    0.000    0.000    0.000    0.000 :0(get_osfhandle)
        6    0.000    0.000    0.000    0.000 subprocess.py:1385(_make_inheritable)
       12    0.000    0.000    0.000    0.000 :0(GetCurrentProcess)
        6    0.000    0.000    0.000    0.000 :0(DuplicateHandle)
        3    0.000    0.000    0.000    0.000 :0(CreatePipe)
       19    0.000    0.000    0.000    0.000 subprocess.py:218(Close)
       11    0.000    0.000    0.000    0.000 :0(CloseHandle)
        3    0.000    0.000    0.000    0.000 subprocess.py:223(Detach)
        3    0.000    0.000    0.000    0.000 :0(open_osfhandle)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1407(_execute_child)
        2    0.000    0.000    0.000    0.000 subprocess.py:193(__init__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1394(_filter_handle_list)
        2    0.000    0.000    0.000    0.000 subprocess.py:1401(<setcomp>)
        2    0.000    0.000    0.000    0.000 :0(audit)
        2    0.000    0.000    0.000    0.000 :0(CreateProcess)
        2    0.000    0.000    0.000    0.000 subprocess.py:1280(_close_pipe_fds)
        2    0.000    0.000    0.000    0.000 contextlib.py:460(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:543(__enter__)
        7    0.000    0.000    0.000    0.000 contextlib.py:509(callback)
        7    0.000    0.000    0.000    0.000 contextlib.py:454(_create_cb_wrapper)
        7    0.000    0.000    0.000    0.000 contextlib.py:527(_push_exit_callback)
        2    0.000    0.000    0.000    0.000 contextlib.py:546(__exit__)
        2    0.000    0.000    0.000    0.000 :0(exc_info)
        7    0.000    0.000    0.000    0.000 contextlib.py:456(_exit_wrapper)
        5    0.000    0.000    0.000    0.000 :0(close)
        1    0.000    0.000    0.000    0.000 subprocess.py:1087(__enter__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1163(communicate)
        7    0.000    0.000    0.000    0.000 :0(count)
        4    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        4    0.000    0.000    0.000    0.000 :0(charmap_decode)
        2    0.000    0.000    0.000    0.000 subprocess.py:1257(wait)
        2    0.000    0.000    0.000    0.000 subprocess.py:1551(_wait)
        1    0.000    0.000    0.000    0.000 :0(WaitForSingleObject)
        1    0.000    0.000    0.000    0.000 :0(GetExitCodeProcess)
        1    0.000    0.000    0.000    0.000 subprocess.py:1231(poll)
        2    0.000    0.000    0.000    0.000 subprocess.py:1534(_internal_poll)
        1    0.000    0.000    0.000    0.000 subprocess.py:1090(__exit__)
        1    0.000    0.000    0.000    0.000 subprocess.py:481(__init__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1118(__del__)
     1001    0.000    0.000    0.000    0.000 :0(groups)
        1    0.000    0.000    0.000    0.000 platform.py:235(_norm_version)
        1    0.000    0.000    0.000    0.000 :0(OpenKeyEx)
        1    0.000    0.000    0.000    0.000 :0(QueryValueEx)
        1    0.000    0.000    0.000    0.000 platform.py:727(_get_machine_win32)
        5    0.000    0.000    0.000    0.000 platform.py:777(_unknown_as_blank)
        1    0.000    0.000    0.047    0.047 tags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 :0(time)
        1    0.000    0.000    0.000    0.000 __init__.py:280(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:421(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:454(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:488(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:531(Formatter)
       10    0.000    0.000    0.000    0.000 __init__.py:576(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:435(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:711(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:753(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:790(Filterer)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 __init__.py:873(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:1067(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1237(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1243(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:882(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:795(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:202(_checkLevel)
        4    0.000    0.000    0.000    0.000 __init__.py:863(_addHandlerRef)
       14    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
       14    0.000    0.000    0.000    0.000 __init__.py:237(_releaseLock)
       14    0.000    0.000    0.000    0.000 :0(release)
        4    0.000    0.000    0.000    0.000 __init__.py:912(createLock)
        4    0.000    0.000    0.000    0.000 __init__.py:248(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1303(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1432(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1786(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1803(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1792(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1308(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1323(disable)
        1    0.000    0.000    0.000    0.000 :0(register)
        1    0.000    0.000    0.000    0.000 __init__.py:2213(NullHandler)
        1    0.000    0.000    0.016    0.016 _manylinux.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _elffile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _elffile.py:17(ELFInvalid)
        1    0.000    0.000    0.016    0.016 _elffile.py:21(EIClass)
        1    0.000    0.000    0.000    0.000 _elffile.py:26(EIData)
        1    0.000    0.000    0.000    0.000 _elffile.py:31(EMachine)
        1    0.000    0.000    0.000    0.000 _elffile.py:39(ELFFile)
        4    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
        4    0.000    0.000    0.000    0.000 typing.py:1640(<genexpr>)
        1    0.000    0.000    0.000    0.000 _manylinux.py:67(_GLibCVersion)
        6    0.000    0.000    0.000    0.000 typing.py:1643(<genexpr>)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _musllinux.py:16(_MuslVersion)
        4    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        6    0.000    0.000    0.000    0.000 __init__.py:1267(__init__)
        1    0.000    0.000    0.000    0.000 tags.py:43(Tag)
       40    0.000    0.000    0.000    0.000 tags.py:526(sys_tags)
        1    0.000    0.000    0.000    0.000 tags.py:499(interpreter_name)
       13    0.000    0.000    0.000    0.000 tags.py:171(cpython_tags)
       35    0.000    0.000    0.000    0.000 tags.py:522(_version_nodot)
        1    0.000    0.000    0.000    0.000 tags.py:135(_cpython_abis)
        2    0.000    0.000    0.000    0.000 tags.py:113(_get_config_var)
        2    0.000    0.000    0.000    0.000 sysconfig.py:710(get_config_var)
      6/3    0.000    0.000    0.000    0.000 sysconfig.py:629(get_config_vars)
        1    0.000    0.000    0.000    0.000 sysconfig.py:535(_init_non_posix)
        4    0.000    0.000    0.000    0.000 sysconfig.py:621(get_path)
        4    0.000    0.000    0.000    0.000 sysconfig.py:609(get_paths)
        4    0.000    0.000    0.000    0.000 sysconfig.py:261(_expand_vars)
        4    0.000    0.000    0.000    0.000 sysconfig.py:253(_extend_dict)
       32    0.000    0.000    0.000    0.000 sysconfig.py:244(_subst_vars)
        1    0.000    0.000    0.000    0.000 :0(extension_suffixes)
        2    0.000    0.000    0.000    0.000 tags.py:487(platform_tags)
        4    0.000    0.000    0.000    0.000 platform.py:919(system)
        4    0.000    0.000    0.000    0.000 tags.py:483(_generic_platforms)
        2    0.000    0.000    0.000    0.000 sysconfig.py:719(get_platform)
        2    0.000    0.000    0.000    0.000 tags.py:122(_normalize_string)
       39    0.000    0.000    0.000    0.000 tags.py:53(__init__)
        2    0.000    0.000    0.000    0.000 tags.py:126(_abi3_applies)
        2    0.000    0.000    0.000    0.000 tags.py:216(<genexpr>)
        2    0.000    0.000    0.000    0.000 tags.py:217(<genexpr>)
        1    0.000    0.000    0.000    0.000 tags.py:510(interpreter_version)
       28    0.000    0.000    0.000    0.000 tags.py:315(compatible_tags)
       28    0.000    0.000    0.000    0.000 tags.py:300(_py_interpreter_range)
        1    0.000    0.000    0.000    0.000 tags.py:72(platform)
        4    0.000    0.000    0.000    0.000 contextlib.py:287(helper)
        4    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:1243(check_support_sve)
        1    0.000    0.000    0.000    0.000 :0(GetStdHandle)
        1    0.000    0.000    0.000    0.000 subprocess.py:361(_text_encoding)
        2    0.000    0.000    0.000    0.000 :0(getencoding)
        1    0.000    0.000    0.000    0.000 utils.py:1265(_Dummy)
        1    0.000    0.000    0.000    0.000 case.py:393(__init__)
        6    0.000    0.000    0.000    0.000 case.py:425(addTypeEqualityFunc)
        1    0.000    0.000    0.000    0.000 utils.py:1900(IgnoreException)
        1    0.000    0.000    0.000    0.000 utils.py:1942(clear_and_catch_warnings)
        1    0.000    0.000    0.000    0.000 utils.py:2008(suppress_warnings)
        1    0.000    0.000    0.000    0.000 utils.py:2502(_get_glibc_version)
        1    0.000    0.000    0.000    0.000 extbuild.py:1(<module>)
        1    0.000    0.000    0.344    0.344 _kdtree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sputils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:363(_FunctionWrapper)
        1    0.000    0.000    0.000    0.000 _util.py:375(MapWrapper)
       16    0.000    0.000    0.484    0.030 __init__.py:198(__getattr__)
       16    0.000    0.000    0.484    0.030 __init__.py:108(import_module)
       16    0.000    0.000    0.484    0.030 <frozen importlib._bootstrap>:1194(_gcd_import)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_sanity_check)
        1    0.000    0.000    0.000    0.000 _base.py:14(SparseWarning)
        1    0.000    0.000    0.000    0.000 _base.py:18(SparseFormatWarning)
        1    0.000    0.000    0.000    0.000 _base.py:22(SparseEfficiencyWarning)
        1    0.000    0.000    0.000    0.000 _base.py:60(spmatrix)
        1    0.000    0.000    0.016    0.016 _csr.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _compressed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _data.py:19(_data_matrix)
       18    0.000    0.000    0.000    0.000 _data.py:131(_create_method)
        1    0.000    0.000    0.000    0.000 _data.py:157(_minmax_mixin)
        1    0.000    0.000    0.000    0.000 _index.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index.py:28(IndexMixin)
        1    0.000    0.000    0.000    0.000 _compressed.py:23(_cs_matrix)
        1    0.000    0.000    0.000    0.000 _csr.py:17(csr_matrix)
        1    0.000    0.000    0.000    0.000 _csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _csc.py:16(csc_matrix)
        1    0.000    0.000    0.000    0.000 _lil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lil.py:19(lil_matrix)
        1    0.000    0.000    0.000    0.000 _dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dok.py:23(dok_matrix)
        1    0.000    0.000    0.000    0.000 _coo.py:22(coo_matrix)
        1    0.000    0.000    0.000    0.000 _dia.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dia.py:16(dia_matrix)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bsr.py:22(bsr_matrix)
        1    0.000    0.000    0.000    0.000 _construct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _extract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arrays.py:10(_sparray)
        1    0.000    0.000    0.000    0.000 _arrays.py:64(bsr_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:68(coo_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:72(csc_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:76(csr_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:80(dia_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:84(dok_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:88(lil_array)
        7    0.000    0.000    0.000    0.000 _arrays.py:57(_matrix_doc_to_array)
        1    0.000    0.000    0.234    0.234 _laplacian.py:1(<module>)
        1    0.000    0.000    0.078    0.078 iterative.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interface.py:53(LinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:507(_CustomLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:553(_AdjointLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:574(_TransposedLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:606(_SumLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:634(_ProductLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:663(_ScaledLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:690(_PowerLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:725(MatrixLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:740(_AdjointMatrixOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:755(IdentityOperator)
        1    0.000    0.000    0.016    0.016 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:65(FunctionMaker)
        1    0.000    0.000    0.000    0.000 decorator.py:254(ContextManager)
       10    0.000    0.000    0.031    0.003 inspect.py:1336(getfullargspec)
      928    0.000    0.000    0.000    0.000 inspect.py:378(isfunction)
      452    0.000    0.000    0.000    0.000 inspect.py:167(get_annotations)
     1967    0.000    0.000    0.000    0.000 inspect.py:3018(<genexpr>)
     3205    0.000    0.000    0.000    0.000 inspect.py:2736(name)
       36    0.000    0.000    0.000    0.000 inspect.py:3035(return_annotation)
     3153    0.000    0.000    0.000    0.000 inspect.py:3031(parameters)
     6542    0.000    0.000    0.000    0.000 inspect.py:2748(kind)
     2092    0.000    0.000    0.000    0.000 inspect.py:2740(default)
      823    0.000    0.000    0.000    0.000 inspect.py:2744(annotation)
        2    0.000    0.000    0.000    0.000 decorator.py:215(decorator)
       46    0.000    0.000    0.000    0.000 inspect.py:292(isclass)
        1    0.000    0.000    0.000    0.000 decorator.py:46(get_init)
       11    0.000    0.000    0.031    0.003 decorator.py:177(create)
       11    0.000    0.000    0.031    0.003 decorator.py:75(__init__)
       22    0.000    0.000    0.000    0.000 decorator.py:195(<genexpr>)
       11    0.000    0.000    0.000    0.000 decorator.py:144(make)
       11    0.000    0.000    0.000    0.000 :0(vars)
       11    0.000    0.000    0.000    0.000 decorator.py:152(<listcomp>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
       11    0.000    0.000    0.000    0.000 decorator.py:127(update)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:9(ReentrancyError)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:13(ReentrancyLock)
        4    0.000    0.000    0.000    0.000 iterative.py:119(set_docstring)
        6    0.000    0.000    0.000    0.000 _threadsafety.py:48(non_reentrant)
        6    0.000    0.000    0.031    0.005 _threadsafety.py:52(decorator)
        7    0.000    0.000    0.000    0.000 _threadsafety.py:25(__init__)
        6    0.000    0.000    0.031    0.005 _threadsafety.py:41(decorate)
        9    0.000    0.000    0.031    0.003 decorator.py:200(decorate)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        4    0.000    0.000    0.000    0.000 iterative.py:120(combine)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        1    0.000    0.000    0.109    0.109 lgmres.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blas.py:238(<dictcomp>)
        1    0.000    0.000    0.000    0.000 blas.py:239(<dictcomp>)
        2    0.000    0.000    0.000    0.000 blas.py:377(_memoize_get_funcs)
        1    0.000    0.000    0.000    0.000 lapack.py:1(<module>)
       48    0.000    0.000    0.000    0.000 lapack.py:861(backtickrepl)
       12    0.000    0.000    0.000    0.000 __init__.py:315(_subx)
        1    0.000    0.000    0.000    0.000 __init__.py:305(_compile_repl)
        1    0.000    0.000    0.000    0.000 _parser.py:997(parse_template)
        1    0.000    0.000    0.000    0.000 _parser.py:1006(addgroup)
      116    0.000    0.000    0.000    0.000 __init__.py:321(filter)
      116    0.000    0.000    0.000    0.000 _parser.py:1090(expand_template)
        1    0.000    0.000    0.000    0.000 _misc.py:9(LinAlgWarning)
        3    0.000    0.000    0.062    0.021 _basic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _flinalg_py.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:434(__getitem__)
        3    0.000    0.000    0.000    0.000 numerictypes.py:229(obj2sctype)
        1    0.000    0.000    0.000    0.000 :0(__getitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:511(<lambda>)
       17    0.000    0.000    0.000    0.000 :0(astype)
        1    0.000    0.000    0.000    0.000 _decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_lu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_schur.py:1(<module>)
       16    0.000    0.000    0.000    0.000 getlimits.py:484(__new__)
        2    0.000    0.000    0.000    0.000 getlimits.py:540(_init)
        2    0.000    0.000    0.000    0.000 getlimits.py:307(_get_machar)
        2    0.000    0.000    0.000    0.000 :0(newbyteorder)
        2    0.000    0.000    0.000    0.000 :0(tobytes)
        4    0.000    0.000    0.000    0.000 getlimits.py:62(smallest_subnormal)
        2    0.000    0.000    0.000    0.000 getlimits.py:86(_str_smallest_subnormal)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        2    0.000    0.000    0.016    0.008 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _special_matrices.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
